brand,model,price,year,kilometers,power,link
Opel,Corsa,18900,2003,134000,44,/osobni/detail/opel/corsa/18644833?goFrom=list
Škoda,Felicia,18900,2001,96809,50,/osobni/detail/skoda/felicia/18797310?goFrom=list
Chevrolet,Matiz,19000,2006,105767,48,/osobni/detail/chevrolet/matiz/18438521?goFrom=list
Renault,Twingo,19000,2006,176410,43,/osobni/detail/renault/twingo/17241322?goFrom=list
Dacia,Logan,19000,2005,152710,55,/osobni/detail/dacia/logan/18805615?goFrom=list
Peugeot,206,19000,2004,148000,44,/osobni/detail/peugeot/206/18810198?goFrom=list
Fiat,Punto,19000,2003,48000,44,/osobni/detail/fiat/punto/18779266?goFrom=list
Hyundai,Accent,19000,2003,86998,62,/osobni/detail/hyundai/accent/17349462?goFrom=list
Ford,Ka,19000,2003,95120,44,/osobni/detail/ford/ka/16616372?goFrom=list
Chevrolet,Kalos,19000,2003,108322,61,/osobni/detail/chevrolet/kalos/18808988?goFrom=list
Opel,Agila,19000,2003,172807,55,/osobni/detail/opel/agila/18802482?goFrom=list
Volkswagen,Lupo,19000,2003,192000,37,/osobni/detail/volkswagen/lupo/18775160?goFrom=list
Fiat,Stilo,19000,2003,195000,85,/osobni/detail/fiat/stilo/18483926?goFrom=list
Škoda,Fabia,19000,2002,114045,50,/osobni/detail/skoda/fabia/18808873?goFrom=list
Citroën,Xsara,19000,2002,115500,51,/osobni/detail/citroen/xsara/18730421?goFrom=list
Renault,Mégane,19000,2002,162299,79,/osobni/detail/renault/megane/17109972?goFrom=list
Fiat,Punto,19000,2001,122211,44,/osobni/detail/fiat/punto/18807411?goFrom=list
Peugeot,206,19000,2001,148000,55,/osobni/detail/peugeot/206/17097385?goFrom=list
Renault,Scénic,19000,2001,190212,75,/osobni/detail/renault/scenic/18752198?goFrom=list
Citroën,Xsara,19000,2001,191347,80,/osobni/detail/citroen/xsara/18740343?goFrom=list
Citroën,Xsara Picasso,19000,2001,198000,85,/osobni/detail/citroen/xsara-picasso/18804573?goFrom=list
Renault,Mégane,19000,2000,164768,70,/osobni/detail/renault/megane/18715893?goFrom=list
Volkswagen,Polo,19000,2000,132600,37,/osobni/detail/volkswagen/polo/18796294?goFrom=list
Hyundai,Atos,19000,2000,135000,40,/osobni/detail/hyundai/atos/18784741?goFrom=list
Škoda,Octavia,19000,2000,137883,66,/osobni/detail/skoda/octavia/18806075?goFrom=list
Renault,Scénic,19000,2000,155101,101,/osobni/detail/renault/scenic/12843596?goFrom=list
Opel,Corsa,19000,2000,173008,43,/osobni/detail/opel/corsa/18767623?goFrom=list
Fiat,Brava,19000,2000,176000,60,/osobni/detail/fiat/brava/18782684?goFrom=list
Škoda,Felicia,19000,2000,185095,50,/osobni/detail/skoda/felicia/18653330?goFrom=list
Volkswagen,Lupo,19000,2000,198260,37,/osobni/detail/volkswagen/lupo/18725436?goFrom=list
Renault,,19500,2001,155400,79,/osobni/detail/renault/ostatni/18759153?goFrom=list
Kia,Carens,19500,2001,182160,81,/osobni/detail/kia/carens/18510888?goFrom=list
Citroën,Saxo,19800,2002,158001,44,/osobni/detail/citroen/saxo/18765786?goFrom=list
Volkswagen,Polo,19800,2001,145000,37,/osobni/detail/volkswagen/polo/18565856?goFrom=list
Peugeot,206,19800,2001,177689,44,/osobni/detail/peugeot/206/18807118?goFrom=list
Peugeot,206,19800,2000,181500,44,/osobni/detail/peugeot/206/18750964?goFrom=list
Kia,Picanto,19900,2005,169414,48,/osobni/detail/kia/picanto/18709462?goFrom=list
Renault,Mégane,19900,2005,169728,73,/osobni/detail/renault/megane/15890535?goFrom=list
Dacia,Solenza,19900,2004,87000,55,/osobni/detail/dacia/solenza/18799309?goFrom=list
Opel,Corsa,19900,2004,136147,44,/osobni/detail/opel/corsa/18763719?goFrom=list
Ford,Fiesta,19900,2003,103898,44,/osobni/detail/ford/fiesta/18747598?goFrom=list
Peugeot,206,19900,2003,189800,55,/osobni/detail/peugeot/206/18782049?goFrom=list
Ford,Fiesta,19900,2002,162000,44,/osobni/detail/ford/fiesta/18697947?goFrom=list
Opel,Corsa,19900,2002,167000,48,/osobni/detail/opel/corsa/16742220?goFrom=list
Kia,Shuma,19900,2002,186211,74,/osobni/detail/kia/shuma/18783277?goFrom=list
Rover,25,19900,2001,185000,74,/osobni/detail/rover/25/13893987?goFrom=list
Renault,Mégane,19900,2001,194021,70,/osobni/detail/renault/megane/18491998?goFrom=list
Citroën,Xsara Picasso,19900,2001,195880,70,/osobni/detail/citroen/xsara-picasso/18372224?goFrom=list
